airport_ident,length_ft,width_ft,closed,le_ident,he_ident
KMB,1434.0,98.0,0,17,35
KMBG,4411.0,75.0,0,12,30
KMBG,2400.0,250.0,0,17,35
KMBL,5502.0,100.0,0,09,27
KMBL,2720.0,75.0,0,18,36
KMBO,4444.0,75.0,0,17,35
KMBS,8002.0,150.0,0,05,23
KMBS,6400.0,150.0,0,14,32
KMBT,4753.0,100.0,0,18,36
KMBY,3350.0,60.0,0,05,23
KMBY,4270.0,100.0,0,13,31
KMCB,5000.0,100.0,0,15,33
KMCC,10600.0,200.0,0,16,34
KMCD,3501.0,75.0,0,08,26
KMCE,5903.0,150.0,0,12,30
KMCF,11421.0,151.0,0,04,22
KMCI,10801.0,150.0,0,01L,19R
KMCI,9500.0,150.0,0,01R,19L
KMCI,9500.0,150.0,0,09,27
KMCK,4000.0,75.0,0,04,22
KMCK,6449.0,100.0,0,12,30
KMCK,1350.0,160.0,0,17,35
KMCN,6501.0,150.0,0,05,23
KMCN,5001.0,150.0,0,13,31
KMCO,9000.0,150.0,0,17L,35R
KMCO,10000.0,150.0,0,17R,35L
KMCO,12005.0,200.0,0,18L,36R
KMCO,12004.0,200.0,0,18R,36L
KMCW,5502.0,150.0,0,12,30
KMCW,6501.0,150.0,0,18,36
KMCX,4002.0,60.0,0,18,36
KMCZ,5000.0,75.0,0,03,21
KMDA,3000.0,700.0,1,13,31
KMDA,3000.0,700.0,0,17,35
KMDD,5022.0,75.0,0,07,25
KMDD,3977.0,75.0,0,16,34
KMDF,3500.0,50.0,0,17,35
KMDH,4164.0,100.0,0,06,24
KMDH,6506.0,100.0,0,18L,36R
KMDH,3498.0,60.0,0,18R,36L
KMDQ,5008.0,100.0,0,18,36
KMDS,2600.0,200.0,0,03,21
KMDS,5000.0,75.0,0,15,33
KMDT,10001.0,200.0,0,13,31
KMDW,5507.0,150.0,0,04L,22R
KMDW,6446.0,150.0,0,04R,22L
KMDW,6522.0,150.0,0,13C,31C
KMDW,5141.0,150.0,0,13L,31R
KMDW,3859.0,60.0,0,13R,31L
KMDZ,5001.0,75.0,0,09,27
KMDZ,4101.0,75.0,0,16,34
KMEB,6489.0,150.0,0,05,23
KMEB,3753.0,150.0,0,13,31
KMEI,10003.0,150.0,0,01,19
KMEI,4599.0,150.0,0,04,22
KMEJ,2553.0,80.0,0,08,26
KMEJ,4800.0,75.0,0,17,35
KMEM,8946.0,150.0,0,09,27
KMEM,11120.0,150.0,0,18C,36C
KMEM,9000.0,150.0,0,18L,36R
KMEM,9320.0,150.0,0,18R,36L
KMER,11802.0,150.0,0,13,31
KMEV,5300.0,75.0,0,12,30
KMEV,2200.0,60.0,0,12G,30G
KMEV,7400.0,100.0,0,16,34
KMEY,2801.0,60.0,0,02,20
KMEZ,6000.0,100.0,0,09,27
KMEZ,5000.0,75.0,0,17,35
KMF,1148.0,,0,14,32
KMFD,6795.0,150.0,0,05,23
KMFD,9001.0,150.0,0,14,32
KMFE,7120.0,150.0,0,13,31
KMFE,2638.0,60.0,0,18,36
KMFI,3600.0,100.0,0,04,22
KMFI,5000.0,100.0,0,16,34
KMFR,3136.0,100.0,0,09,27
KMFR,8800.0,150.0,0,14,32
KMFV,5004.0,100.0,0,03,21
KMGC,4100.0,75.0,0,02,20
KMGE,10000.0,300.0,0,11,29
KMGE,4000.0,60.0,0,110,290
KMGG,8000.0,2000.0,0,04W,22W
KMGG,2796.0,60.0,0,10,28
KMGJ,5006.0,100.0,0,4,22
KMGJ,3664.0,100.0,0,8,26
KMGM,4010.0,150.0,0,03,21
KMGM,9010.0,150.0,0,10,28
KMGN,4157.0,75.0,0,10,28
KMGR,5129.0,100.0,0,04,22
KMGR,3878.0,75.0,0,16,34
KMGW,2769.0,75.0,0,05,23
KMGW,5199.0,150.0,0,18,36
KMGW,2769.0,75.0,1,5,23
KMGY,5000.0,100.0,0,02,20
KMHE,6700.0,100.0,0,12,30
KMHE,5512.0,100.0,0,17,35
KMHK,7000.0,150.0,0,03,21
KMHK,3800.0,100.0,0,13,31
KMHL,3320.0,150.0,0,09,27
KMHL,4701.0,75.0,0,18,36
KMHP,3612.0,75.0,0,10,28
KMHR,6040.0,150.0,0,04L,22R
KMHR,11301.0,150.0,0,04R,22L
KMHT,6850.0,150.0,0,06,24
KMHT,9250.0,150.0,0,17,35
KMHV,4743.0,50.0,0,04,22
KMHV,7050.0,100.0,0,08,26
KMHV,9502.0,200.0,0,12,30
KMIA,8600.0,150.0,0,08L,26R
KMIA,10506.0,200.0,0,08R,26L
KMIA,13000.0,150.0,0,09,27
KMIA,9354.0,150.0,0,12,30
KMIB,13197.0,300.0,0,11,29
KMIC,2499.0,75.0,0,06L,24R
KMIC,1669.0,137.0,0,06R,24L
KMIC,3263.0,75.0,0,14L,32R
KMIC,3266.0,75.0,0,14R,32L
KMIE,4998.0,100.0,0,02,20
KMIE,6500.0,150.0,0,14,32
KMIO,5020.0,100.0,0,17,35
KMIT,4501.0,100.0,0,12,30
KMIT,2972.0,100.0,0,17,35
KMIV,6002.0,150.0,0,10,28
KMIV,5057.0,150.0,0,14,32
KMIW,5006.0,100.0,0,12,30
KMIW,2806.0,50.0,0,18,36
KMJD,5000.0,75.0,0,18,36
KMJQ,2250.0,300.0,0,04,22
KMJQ,3591.0,75.0,0,13,31
KMJX,5949.0,100.0,0,06,24
KMJX,3599.0,75.0,0,14,32
KMKA,3600.0,60.0,0,15,33
KMKC,7002.0,150.0,0,01,19
KMKC,5050.0,150.0,0,03,21
KMKE,9690.0,200.0,0,01L,19R
KMKE,4183.0,150.0,0,01R,19L
KMKE,4800.0,100.0,0,07L,25R
KMKE,8012.0,150.0,0,07R,25L
KMKE,5868.0,150.0,0,13,31
KMKG,6501.0,150.0,0,06,24
KMKG,5001.0,150.0,0,14,32
KMKJ,5252.0,75.0,0,08,26
KMKL,6006.0,150.0,0,02,20
KMKL,3539.0,100.0,0,11,29
KMKN,4500.0,75.0,0,17,35
KMKO,4500.0,75.0,0,04,22
KMKO,7201.0,150.0,0,13,31
KMKO,1900.0,60.0,0,18,36
KMKS,4350.0,75.0,0,05,23
KMKT,3999.0,75.0,0,04,22
KMKT,5400.0,100.0,0,15,33
KMKV,3802.0,75.0,0,04,22
KMKY,5000.0,100.0,0,17,35
KMLB,3001.0,75.0,0,05,23
KMLB,6000.0,150.0,0,09L,27R
KMLB,10181.0,150.0,0,09R,27L
KMLC,5602.0,100.0,0,02,20
KMLD,4950.0,60.0,0,16,34
KMLE,3801.0,75.0,0,12,30
KMLF,5000.0,75.0,0,16,34
KMLI,4509.0,150.0,0,05,23
KMLI,10002.0,150.0,0,09,27
KMLI,7001.0,150.0,0,13,31
KMLJ,5500.0,100.0,0,10,28
KMLS,5680.0,75.0,0,04,22
KMLS,5624.0,100.0,0,12,30
KMLT,4713.0,100.0,0,11,29
KMLT,4008.0,150.0,0,16,34
KMLU,7507.0,150.0,0,04,22
KMLU,5000.0,150.0,0,14,32
KMLU,5001.0,150.0,0,18,36
KMM,1992.0,59.0,0,13,31
KMMH,7000.0,100.0,0,09,27
KMMI,5000.0,75.0,0,02,20
KMMK,3100.0,75.0,0,18,36
KMML,4000.0,75.0,0,02,20
KMML,5010.0,100.0,0,12,30
KMMS,3348.0,70.0,0,02,20
KMMT,2033.0,90.0,0,05,23
KMMT,9017.0,150.0,0,14,32
KMMT,4500.0,150.0,1,18,36
KMMU,5999.0,150.0,0,05,23
KMMU,3998.0,150.0,0,13,31
KMMV,5420.0,150.0,0,04,22
KMMV,4676.0,150.0,0,17,35
KMNF,5005.0,75.0,0,10,28
KMNI,3602.0,75.0,0,02,20
KMNM,6000.0,100.0,0,03,21
KMNM,5100.0,100.0,0,14,32
KMNN,5000.0,100.0,0,07,25
KMNN,3498.0,100.0,0,13,31
KMNV,3501.0,75.0,0,05,23
KMNZ,5000.0,75.0,0,18,36
KMO1,3000.0,60.0,0,14,32
KMO3,3060.0,50.0,0,01,19
KMO6,5000.0,75.0,0,15,33
KMO8,4000.0,75.0,0,18,36
KMOB,8521.0,150.0,0,14,32
KMOB,4365.0,150.0,0,18,36
KMOD,5911.0,150.0,0,10L,28R
KMOD,3459.0,100.0,0,10R,28L
KMOP,2500.0,160.0,0,05,23
KMOP,5000.0,100.0,0,09,27
KMOR,5701.0,100.0,0,05,23
KMOT,6350.0,100.0,0,08,26
KMOT,7700.0,150.0,0,13,31
KMOX,2640.0,150.0,0,04,22
KMOX,4000.0,75.0,0,14,32
KMPE,5000.0,50.0,0,18,36
KMPG,3302.0,60.0,0,06,24
KMPI,3306.0,60.0,0,08,26
KMPJ,5853.0,75.0,0,03,21
KMPO,4000.0,100.0,0,05,23
KMPO,3948.0,60.0,0,13,31
KMPR,2511.0,75.0,0,08,26
KMPR,5500.0,100.0,0,18,36
KMPV,4022.0,100.0,0,05,23
KMPV,5002.0,100.0,0,17,35
KMPZ,1965.0,120.0,0,03,21
KMPZ,4001.0,75.0,0,15,33
KMQB,5101.0,100.0,0,09,27
KMQB,3719.0,190.0,1,18,36
KMQI,4300.0,100.0,0,05,23
KMQI,3303.0,75.0,0,17,35
KMQJ,5500.0,100.0,0,07,25
KMQJ,3901.0,75.0,0,16,34
KMQS,5400.0,100.0,0,11,29
KMQW,4030.0,75.0,0,03,21
KMQY,5546.0,100.0,0,01,19
KMQY,8036.0,150.0,0,14,32
KMRB,9600.0,150.0,0,08,26
KMRB,5001.0,150.0,1,17,35
KMRC,6003.0,100.0,0,06,24
KMRC,2000.0,200.0,0,17,35
KMRF,5307.0,75.0,0,03,21
KMRF,2825.0,60.0,0,08,26
KMRF,6214.0,75.0,0,12,30
KMRH,4191.0,150.0,0,03,21
KMRH,4249.0,100.0,0,08,26
KMRH,4000.0,100.0,0,14,32
KMRJ,3601.0,60.0,0,04,22
KMRJ,5000.0,75.0,0,11,29
KMRN,5500.0,75.0,0,03,21
KMRT,4218.0,75.0,0,09,27
KMRY,3513.0,60.0,0,10L,28R
KMRY,7616.0,150.0,0,10R,28L
KMSL,6693.0,150.0,0,11,29
KMSL,4000.0,100.0,0,18,36
KMSN,7200.0,150.0,0,03,21
KMSN,5846.0,150.0,0,14,32
KMSN,9005.0,150.0,0,18,36
KMSO,4612.0,75.0,0,07,25
KMSO,9501.0,150.0,0,11,29
KMSP,11006.0,150.0,0,04,22
KMSP,8000.0,150.0,0,12L,30R
KMSP,10000.0,200.0,0,12R,30L
KMSP,8000.0,150.0,0,17,35
KMSS,4998.0,100.0,0,05,23
KMSS,4000.0,100.0,0,09,27
KMSV,6300.0,150.0,0,15,33
KMSY,7001.0,150.0,0,02,20
KMSY,3570.0,150.0,1,06,24
KMSY,10104.0,150.0,0,11,29
KMT,1900.0,89.0,1,16,34
KMTC,9000.0,150.0,0,01,19
KMTH,5008.0,100.0,0,07,25
KMTJ,7500.0,100.0,0,13,31
KMTJ,10000.0,150.0,0,17,35
KMTN,6996.0,180.0,0,15,33
KMTO,5799.0,100.0,0,06,24
KMTO,6501.0,150.0,0,11,29
KMTO,1080.0,250.0,0,18,36
KMTP,3481.0,75.0,0,06,24
KMTV,5002.0,100.0,0,12,30
KMTW,3343.0,100.0,0,07,25
KMTW,5002.0,100.0,0,17,35
KMUI,3967.0,100.0,0,07,25
KMUI,100.0,100.0,0,H1,
KMUI,100.0,100.0,0,H2,
KMUI,100.0,100.0,0,H3,
KMUL,5000.0,300.0,1,04,22
KMUL,4500.0,75.0,0,14,32
KMUL,2900.0,300.0,1,18,36
KMUO,10000.0,500.0,1,07,25
KMUO,13500.0,200.0,0,12,30
KMUT,5500.0,100.0,0,06,24
KMUT,4000.0,75.0,0,12,30
KMVC,6016.0,100.0,0,03,21
KMVE,2330.0,165.0,0,03,21
KMVE,4000.0,75.0,0,14,32
KMVI,5900.0,60.0,0,02,20
KMVI,1731.0,45.0,0,10,28
KMVI,2449.0,30.0,0,16,34
KMVL,3701.0,75.0,0,01,19
KMVM,2909.0,60.0,0,18,36
KMVN,6498.0,150.0,0,05,23
KMVN,3149.0,100.0,0,15,33
KMVY,3177.0,75.0,1,01,19
KMVY,5504.0,100.0,0,06,24
KMVY,3297.0,75.0,0,15,33
KMWA,8012.0,150.0,0,02,20
KMWA,5000.0,100.0,0,11,29
KMWC,3202.0,75.0,0,04L,22R
KMWC,2862.0,275.0,0,04R,22L
KMWC,4106.0,75.0,0,15L,33R
KMWC,3251.0,275.0,0,15R,33L
KMWH,10000.0,100.0,0,04,22
KMWH,3500.0,90.0,0,09,27
KMWH,13503.0,200.0,0,14L,32R
KMWH,2937.0,75.0,0,14R,32L
KMWH,3307.0,75.0,0,18,36
KMWK,4302.0,75.0,0,18,36
KMWL,5996.0,100.0,0,13,31
KMWL,4188.0,100.0,0,17,35
KMWM,3599.0,75.0,0,17,35
KMWO,6100.0,100.0,0,05,23
KMWO,2984.0,300.0,0,08,26
KMXA,4200.0,60.0,0,18,36
KMXF,3015.0,60.0,0,007,187
KMXF,8013.0,150.0,0,15,33
KMXO,2275.0,90.0,0,09,27
KMXO,4400.0,75.0,0,15,33
KMY,10000.0,1000.0,0,N,S
KMYF,3400.0,150.0,0,05,23
KMYF,4577.0,150.0,0,10L,28R
KMYF,3400.0,60.0,0,10R,28L
KMYJ,5501.0,100.0,0,06,24
KMYJ,3199.0,50.0,0,18,36
KMYL,6107.0,75.0,0,16,34
KMYR,9503.0,150.0,0,18,36
KMYV,3281.0,60.0,0,05,23
KMYV,6006.0,150.0,0,14,32
KMYZ,2190.0,75.0,0,02,20
KMYZ,4200.0,60.0,0,15,33
KMZH,3200.0,75.0,0,04,22
KMZJ,6690.0,150.0,1,08,26
KMZJ,6849.0,150.0,0,12,30
KMZZ,6000.0,100.0,0,04,22
KMZZ,3596.0,100.0,0,15,33
KN03,3400.0,75.0,0,06,24
KN06,3175.0,270.0,0,15,33
KN12,2912.0,60.0,0,06,24
KN13,3200.0,60.0,0,09,27
KN14,3496.0,75.0,0,01,19
KN19,2850.0,40.0,0,04,22
KN19,4300.0,50.0,0,08,26
KN23,4204.0,75.0,0,07,25
KN24,6861.0,75.0,0,17,35
KN27,4300.0,75.0,0,05,23
KN35,1985.0,100.0,0,01,19
KN35,3003.0,50.0,0,06,24
KN37,2595.0,40.0,0,01,19
KN37,2072.0,24.0,0,15,33
KN38,3600.0,60.0,0,10,28
KN40,2439.0,50.0,0,07,25
KN47,2704.0,75.0,0,08,26
KN51,3735.0,120.0,0,04,22
KN51,3440.0,200.0,0,13,31
KN52,3309.0,40.0,0,04,22
KN53,3087.0,30.0,0,08,26
KN57,3695.0,50.0,0,06,24
KN58,2750.0,40.0,0,05,23
KN58,3974.0,40.0,0,15,33
KN59,4200.0,60.0,1,02,20
KN59,4800.0,32.0,0,07,25
KN59,3700.0,64.0,0,17,35
KN66,4200.0,75.0,0,06,24
KN68,3300.0,75.0,0,06,24
KN69,3315.0,50.0,0,06,24
KN71,3250.0,50.0,0,10,28
KN73,2880.0,50.0,0,05,23
KN79,3297.0,75.0,0,08,26
KN81,3602.0,75.0,0,03,21
KN82,3592.0,60.0,0,05,23
KN82,1100.0,110.0,0,09,27
KN82,2101.0,120.0,0,14,32
KN82,1250.0,150.0,0,18,36
KN87,4275.0,80.0,0,11,29
KN89,3838.0,75.0,0,04,22
KN94,4008.0,40.0,0,10,28
KN96,3640.0,40.0,0,07,25
KN98,4000.0,75.0,0,09,27
KNBC,12202.0,200.0,0,05,23
KNBC,6425.0,150.0,1,10,28
KNBC,7999.0,200.0,0,14,32
KNBC,3941.0,150.0,1,18,36
KNBG,9999.0,200.0,0,04,22
KNBG,6000.0,200.0,0,14,32
KNBJ,4000.0,150.0,0,09,27
KNBJ,4000.0,150.0,0,15,33
KNCA,4790.0,150.0,0,01,19
KNCA,5114.0,150.0,0,05,23
KNDY,4191.0,150.0,0,16,34
KNDZ,5997.0,200.0,0,05,23
KNDZ,6000.0,200.0,1,09,27
KNDZ,6001.0,200.0,0,14,32
KNDZ,6000.0,200.0,1,18,36
KNEL,5000.0,150.0,0,06,24
KNEL,5001.0,150.0,0,15,33
KNEN,8000.0,150.0,0,12,30
KNEW,3113.0,75.0,0,09,27
KNEW,3697.0,75.0,0,18L,36R
KNEW,6880.0,150.0,0,18R,36L
KNFD,2850.0,150.0,0,04,22
KNFD,2850.0,150.0,0,10,28
KNFD,2850.0,150.0,0,16,34
KNFE,8000.0,175.0,0,05,23
KNFG,6006.0,200.0,0,03,21
KNFJ,4000.0,175.0,1,04,22
KNFJ,3600.0,175.0,1,11,29
KNFJ,8000.0,150.0,0,18,36
KNFL,7004.0,154.0,0,07,25
KNFL,11079.0,200.0,0,13L,31R
KNFL,14005.0,201.0,0,13R,31L
KNFW,12000.0,200.0,0,17,35
KNGP,4997.0,200.0,0,04,22
KNGP,4998.0,200.0,0,13L,31R
KNGP,8003.0,200.0,0,13R,31L
KNGP,5003.0,200.0,0,17,35
KNGS,4500.0,150.0,0,05,23
KNGS,4500.0,150.0,0,09,27
KNGS,4500.0,150.0,0,14,32
KNGS,4500.0,150.0,0,18,36
KNGU,8369.0,200.0,0,10,28
KNGW,5000.0,150.0,0,13,31
KNGW,5000.0,150.0,0,17,35
KNHK,5021.0,75.0,0,02,20
KNHK,11807.0,200.0,0,06,24
KNHK,9742.0,200.0,0,14,32
KNHL,3000.0,150.0,0,04,22
KNHL,3000.0,150.0,0,09,27
KNHL,3000.0,150.0,0,18,36
KNHU,1705.0,150.0,0,9H,27H
KNHU,75.0,75.0,0,H1,
KNHU,75.0,75.0,0,H2,
KNHU,120.0,120.0,0,H3,
KNHU,120.0,120.0,0,H4,
KNHU,120.0,120.0,0,H5,
KNHU,120.0,120.0,0,H6,
KNHU,120.0,120.0,0,H7,
KNHU,120.0,120.0,0,H8,
KNHU,120.0,120.0,0,H9,
KNHZ,8000.0,200.0,1,01L,19R
KNHZ,8000.0,200.0,0,01R,19L
KNHZ,6000.0,100.0,1,09,27
KNID,9991.0,200.0,0,03,21
KNID,7701.0,200.0,0,08,26
KNID,9011.0,200.0,0,14,32
KNIP,8002.0,200.0,0,10,28
KNIP,5984.0,200.0,0,14,32
KNJK,9503.0,200.0,0,08,26
KNJK,6823.0,200.0,0,12,30
KNJM,3997.0,96.0,0,05,23
KNJW,7976.0,150.0,0,13,31
KNKL,3600.0,150.0,1,05,23
KNKL,3600.0,150.0,0,09,27
KNKL,3600.0,150.0,0,17,35
KNKT,7553.0,200.0,0,05L,23R
KNKT,8188.0,196.0,0,05R,23L
KNKT,8984.0,200.0,0,14L,32R
KNKT,8399.0,200.0,0,14R,32L
KNKX,12000.0,200.0,0,06L,24R
KNKX,8000.0,200.0,0,06R,24L
KNKX,2800.0,200.0,0,10,28
KNLC,13502.0,200.0,0,14L,32R
KNLC,13502.0,200.0,0,14R,32L
KNMM,8002.0,200.0,0,01L,19R
KNMM,8002.0,200.0,0,01R,19L
KNMM,6401.0,200.0,0,10,28
KNOG,8000.0,200.0,0,01,19
KNOG,8000.0,200.0,0,13,31
KNOW,4500.0,150.0,0,07,25
KNPA,7137.0,200.0,0,01,19
KNPA,8002.0,200.0,0,07L,25R
KNPA,8001.0,200.0,0,07R,25L
KNQA,8000.0,200.0,0,04,22
KNQA,4850.0,150.0,1,14,32
KNQA,4250.0,200.0,1,18,36
KNQB,2915.0,150.0,0,05,23
KNQB,3000.0,150.0,0,09,27
KNQB,2915.0,150.0,0,16,34
KNQI,8000.0,200.0,0,13L,31R
KNQI,8000.0,200.0,0,13R,31L
KNQI,8000.0,200.0,0,17L,35R
KNQI,8000.0,200.0,0,17R,35L
KNQX,7000.0,150.0,0,03,21
KNQX,10000.0,200.0,0,07,25
KNQX,7000.0,150.0,0,13,31
KNRA,5400.0,200.0,0,14,32
KNRB,8001.0,200.0,0,05,23
KNRN,2117.0,250.0,1,08,26
KNRN,4700.0,60.0,0,16,34
KNRQ,1800.0,150.0,0,04L,22R
KNRQ,1800.0,150.0,0,04R,22L
KNRQ,1800.0,150.0,0,09L,27R
KNRQ,1800.0,150.0,0,09R,27L
KNRQ,1800.0,150.0,0,13L,31R
KNRQ,1800.0,150.0,0,13R,31L
KNRQ,1800.0,150.0,0,18L,36R
KNRQ,1800.0,150.0,0,18R,36L
KNRS,2241.0,150.0,0,08,26
KNRS,4999.0,340.0,0,09,27
KNSE,6000.0,200.0,0,05,23
KNSE,6000.0,200.0,1,09,27
KNSE,6000.0,200.0,0,14,32
KNSE,6000.0,200.0,1,18,36
KNSI,10002.0,200.0,0,12,30
KNTD,11102.0,200.0,0,03,21
KNTD,5504.0,200.0,0,09,27
KNTU,8001.0,150.0,0,05L,23R
KNTU,11997.0,200.0,0,05R,23L
KNTU,8000.0,150.0,0,14L,32R
KNTU,7999.0,200.0,0,14R,32L
KNUC,9301.0,200.0,0,05,23
KNUI,5000.0,150.0,0,08,26
KNUI,5000.0,150.0,0,15,33
KNUN,4000.0,150.0,0,05,23
KNUN,5296.0,200.0,1,09,27
KNUN,4000.0,150.0,0,14,32
KNUN,5200.0,200.0,1,18,36
KNUQ,9202.0,200.0,0,14L,32R
KNUQ,8127.0,200.0,0,14R,32L
KNUW,8000.0,200.0,0,07,25
KNUW,8001.0,200.0,0,14,32
KNVD,5901.0,75.0,0,02,20
KNVD,2581.0,40.0,0,13,31
KNVI,3000.0,3000.0,0,H1,H1
KNWL,5000.0,200.0,0,13,31
KNWL,5000.0,200.0,0,17,35
KNXP,8015.0,150.0,0,10,28
KNXX,8002.0,200.0,0,15,33
KNY0,4000.0,75.0,0,10,28
KNY2,3970.0,60.0,0,10,28
KNYG,4279.0,200.0,0,02,20
KNYL,13299.0,200.0,0,03L,21R
KNYL,9239.0,150.0,0,03R,21L
KNYL,6145.0,150.0,0,08,26
KNYL,5710.0,150.0,0,17,35
KNZJ,3900.0,250.0,0,03,21
KNZJ,8000.0,200.0,0,07L,25R
KNZJ,8000.0,200.0,0,07R,25L
KNZJ,10000.0,200.0,0,16L,34R
KNZJ,10000.0,200.0,0,16R,34L
KNZW,5000.0,,1,02,20
KNZW,6000.0,,1,08,26
KNZW,7000.0,,1,17,35
KNZX,5000.0,1400.0,0,09,27
KNZY,7500.0,300.0,0,11,29
KNZY,8000.0,200.0,0,18,36
KO02,4651.0,75.0,0,07,25
KO05,5320.0,120.0,0,05,23
KO05,5000.0,100.0,0,16,34
KO08,3000.0,60.0,0,13,31
KO09,3670.0,55.0,0,10,28
KO11,4208.0,60.0,0,17,35
KO15,2985.0,50.0,0,12,30
KO16,3050.0,75.0,0,18,36
KO20,4000.0,60.0,0,12,30
KO22,2600.0,100.0,0,11,29
KO22,4670.0,75.0,0,17,35
KO22,100.0,100.0,0,H1,H1
KO22,78.0,78.0,0,H2,H2
KO24,4090.0,50.0,0,16,34
KO26,2391.0,90.0,0,13,31
KO26,4000.0,60.0,0,16,34
KO26,30.0,30.0,0,H1,H1
KO27,3020.0,66.0,0,10,28
KO28,3000.0,75.0,0,16,34
KO32,3300.0,50.0,0,15,33
KO35,3000.0,60.0,0,17,35
KO37,4500.0,60.0,0,15,33
KO41,3770.0,60.0,0,18,36
KO42,3320.0,50.0,0,07,25
KO43,5800.0,75.0,0,01,19
KO46,5000.0,60.0,0,14,32
KO47,2757.0,60.0,0,17,35
KO51,3950.0,50.0,0,17,35
KO52,3045.0,75.0,0,17,35
KO53,3007.0,60.0,0,17,35
KO54,2980.0,50.0,0,18,36
KO57,4239.0,60.0,0,16,34
KO59,4415.0,50.0,0,01,19
KO60,3155.0,60.0,0,14,32
KO61,4051.0,50.0,0,13,31
KO65,3000.0,60.0,0,17,35
KO69,3600.0,75.0,0,11,29
KO70,3401.0,60.0,0,01,19
KO79,3260.0,50.0,0,03,21
KO81,3577.0,44.0,0,11,29
KO86,3215.0,50.0,0,14,32
KO88,4200.0,75.0,0,07,25
KO88,2199.0,60.0,0,15,33
KO89,3600.0,75.0,0,02,20
KOAJ,7100.0,150.0,0,05,23
KOAK,5458.0,150.0,0,10L,28R
KOAK,6213.0,150.0,0,10R,28L
KOAK,10000.0,150.0,0,12,30
KOAK,3376.0,75.0,0,15,33
KOAR,3000.0,75.0,0,11,29
KOBE,5000.0,150.0,0,05,23
KOBE,4000.0,150.0,0,14,32
KOBI,3304.0,75.0,0,01,19
KOBI,3073.0,75.0,0,13,31
KOCF,3010.0,50.0,0,08,26
KOCF,6907.0,150.0,0,18,36
KOCH,3610.0,75.0,1,15,33
KOCH,5000.0,75.0,0,18,36
KOCQ,1845.0,150.0,0,04,22
KOCQ,3199.0,75.0,0,11,29
KOCW,5000.0,100.0,0,05,23
KOCW,4000.0,150.0,1,11,29
KOCW,5000.0,150.0,0,17,35
KODO,5703.0,75.0,0,02,20
KODO,3420.0,60.0,0,11,29
KODO,5003.0,75.0,0,16,34
KODX,4500.0,60.0,0,13,31
KODX,2086.0,300.0,0,17,35
KOEA,2350.0,120.0,0,03,21
KOEA,3450.0,150.0,0,09,27
KOEA,2625.0,135.0,0,14,32
KOEB,3500.0,75.0,0,04,22
KOEB,5350.0,75.0,0,07,25
KOEB,2400.0,190.0,0,16,34
KOEL,2270.0,110.0,0,08,26
KOEL,5000.0,75.0,0,16,34
KOEO,2270.0,150.0,0,04,22
KOEO,3862.0,75.0,0,10,28
KOFF,11700.0,300.0,1,12,30
KOFK,5800.0,100.0,0,01,19
KOFK,5800.0,100.0,0,14,32
KOFP,5400.0,100.0,0,16,34
KOGA,5100.0,75.0,0,08,26
KOGA,3698.0,50.0,0,13,31
KOGB,4500.0,100.0,0,05,23
KOGB,2800.0,165.0,1,13,31
KOGB,5401.0,100.0,0,17,35
KOGD,8103.0,150.0,0,03,21
KOGD,5600.0,150.0,1,07,25
KOGD,5195.0,150.0,0,16,34
KOGM,3500.0,75.0,0,17,35
KOGS,5200.0,150.0,0,09,27
KOIC,4724.0,75.0,0,01,19
KOIN,1686.0,190.0,0,03,21
KOIN,2850.0,125.0,0,12,30
KOIN,3793.0,50.0,0,17,35
KOJA,4399.0,75.0,0,17,35
KOJC,4098.0,75.0,0,18,36
KOKB,2712.0,75.0,0,06,24
KOKC,7800.0,150.0,0,13,31
KOKC,9802.0,150.0,0,17L,35R
KOKC,9800.0,150.0,0,17R,35L
KOKC,3079.0,75.0,0,18,36
KOKH,3244.0,25.0,0,07,25
KOKK,5201.0,150.0,0,05,23
KOKK,4001.0,150.0,0,14,32
KOKM,4300.0,150.0,1,04,22
KOKM,5150.0,100.0,0,18,36
KOKS,4701.0,60.0,0,12,30
KOKV,5500.0,100.0,0,14,32
KOKZ,5015.0,75.0,0,12,30
KOLD,3199.0,75.0,0,04,22
KOLD,3999.0,100.0,0,12,30
KOLD,8400.0,100.0,0,17W,35W
KOLE,4800.0,100.0,0,04,22
KOLE,2117.0,105.0,0,16,34
KOLF,5089.0,100.0,0,11,29
KOLG,3100.0,60.0,0,01,19
KOLM,4157.0,150.0,0,08,26
KOLM,5501.0,150.0,0,17,35
KOLS,7199.0,90.0,0,03,21
KOLU,4135.0,150.0,0,02,20
KOLU,6800.0,100.0,0,14,32
KOLV,6000.0,100.0,0,18,36
KOLY,3599.0,60.0,0,03,21
KOLY,4100.0,75.0,0,11,29
KOLZ,4001.0,75.0,0,13,31
KOLZ,1800.0,85.0,0,18,36
KOM,2592.0,147.0,0,12,30
KOMA,8500.0,150.0,0,14L,32R
KOMA,9502.0,150.0,0,14R,32L
KOMA,8153.0,150.0,0,18,36
KOMH,3200.0,75.0,0,08,26
KOMK,4667.0,150.0,0,17,35
KOMN,4000.0,180.0,1,04,22
KOMN,4004.0,75.0,0,09,27
KOMN,4000.0,180.0,1,13,31
KOMN,3701.0,100.0,0,17,35
KONA,5199.0,100.0,0,12,30
KONA,2553.0,75.0,0,17,35
KONL,3030.0,120.0,0,04,22
KONL,4409.0,75.0,0,13,31
