airport_ident,length_ft,width_ft,closed,le_ident,he_ident
BR-1759,2953.0,59.0,0,05,23
BR-1760,64.0,64.0,0,10,
BR-1761,4593.0,59.0,0,05,23
BR-1762,3281.0,66.0,0,09,27
BR-1763,59.0,59.0,0,14,
BR-1764,69.0,69.0,0,31,
BR-1766,2789.0,72.0,0,07,25
BR-1767,59.0,59.0,0,27,
BR-1767,59.0,59.0,0,27,
BR-1768,1640.0,59.0,0,13,31
BR-1769,2621.0,59.0,0,06,24
BR-1770,102.0,102.0,1,13,
BR-1770,69.0,69.0,0,13,
BR-1771,69.0,69.0,0,26,
BR-1772,2297.0,59.0,0,02,20
BR-1773,2461.0,59.0,0,03,21
BR-1774,3937.0,59.0,0,17,35
BR-1775,3937.0,59.0,0,10,28
BR-1776,66.0,66.0,0,10,
BR-1777,2559.0,59.0,0,03,21
BR-1779,59.0,59.0,0,21,36
BR-1780,64.0,64.0,0,12,
BR-1781,69.0,69.0,0,9,27
BR-1787,2625.0,59.0,0,01,19
BR-1788,3609.0,66.0,0,14,32
BR-1789,79.0,79.0,0,15,30
BR-1790,3018.0,66.0,0,08,26
BR-1794,3281.0,63.0,0,11,29
BR-1796,3281.0,82.0,0,06,24
BR-1797,69.0,69.0,0,12,
BR-1798,4265.0,75.0,0,12,30
BR-1799,64.0,64.0,0,01,16
BR-1801,4265.0,66.0,0,09,27
BR-1802,1804.0,66.0,0,05,23
BR-1803,2789.0,59.0,0,13,31
BR-1804,66.0,66.0,0,15,
BR-1807,59.0,59.0,0,09,
BR-1809,1575.0,59.0,0,03,21
BR-1813,2956.0,72.0,0,14,32
BR-1814,69.0,69.0,0,19,
BR-1815,69.0,69.0,0,15,
BR-1816,3609.0,59.0,0,06,24
BR-1818,4921.0,75.0,0,03,21
BR-1822,69.0,69.0,0,02,20
BR-1829,59.0,59.0,0,20,
BR-1831,3281.0,66.0,0,01,19
BR-1832,4265.0,98.0,0,09,27
BR-1833,2461.0,66.0,0,01,19
BR-1837,3281.0,66.0,0,09,27
BR-1838,3937.0,75.0,0,05,23
BR-1839,2625.0,59.0,0,12,30
BR-1843,2297.0,66.0,0,15,33
BR-1845,59.0,59.0,0,05,
BR-1850,3937.0,82.0,0,11,29
BR-1859,3281.0,59.0,0,01,19
BR-1861,2624.0,59.0,0,08,26
BR-1863,4921.0,82.0,0,11,29
BR-1866,4921.0,59.0,0,08,26
BR-1866,3281.0,59.0,1,10,28
BR-1868,3937.0,75.0,0,11,29
BR-1869,2435.0,43.0,0,10,28
BR-1873,1968.0,66.0,0,10,28
BR-1874,3281.0,59.0,0,01,19
BR-1875,69.0,69.0,0,02,
BR-ALT,3280.0,75.0,0,10,28
BSP,2772.0,98.0,0,14,32
BTZ,5906.0,,0,,
BUL,4373.0,,0,15,33
BUTL,3055.0,75.0,0,18,36
BW-0022,3353.0,66.0,0,17,35
BW-0059,3600.0,,0,,
BW-0059,3800.0,,0,,
BWP,2500.0,59.0,0,14,32
BXZ,1969.0,98.0,0,15,33
BY-0001,9845.0,,0,05,23
BY-0009,8202.0,131.0,0,15,33
BY-0014,2459.0,125.0,0,01,19
BY-0022,7742.0,79.0,0,07,25
BY-9934,8114.0,138.0,0,11,29
BYA,2500.0,60.0,0,05,23
BZ-0008,9022.0,197.0,0,08,26
BZ-CZH,2198.0,48.0,0,07,25
BZ-PLJ,2133.0,65.0,0,08,26
BZ-PND,2372.0,98.0,0,07,25
BZ-SJX,2510.0,48.0,0,10,28
BZ-SPR,,,0,06,24
BZ-SVK,2887.0,,0,10,28
C00,2480.0,45.0,0,17,35
C01,2400.0,80.0,0,09,27
C07,2600.0,60.0,0,07,25
C11,2600.0,95.0,0,08,26
C23,6000.0,40.0,0,04,22
C25,2800.0,50.0,0,11,29
C37,1480.0,100.0,0,03,21
C37,2430.0,155.0,0,09,27
C37,1380.0,100.0,0,15,33
C39,10000.0,4000.0,0,ALL,WAY
C40,2600.0,100.0,0,09,27
C40,2230.0,100.0,0,18,36
C43,2314.0,100.0,0,09,27
C44,1756.0,60.0,0,17,35
C45,2784.0,40.0,0,04,22
C45,2188.0,40.0,0,18,36
C54,65.0,65.0,0,H1,
C55,2640.0,200.0,0,09,27
C56,5001.0,75.0,0,09,27
C59,4423.0,80.0,0,18,36
C66,2899.0,60.0,0,02,20
C72,3800.0,125.0,0,13L,31R
C72,2065.0,50.0,0,13R,31L
C82,2590.0,184.0,0,18,36
C86,2600.0,100.0,0,18,36
C89,2343.0,120.0,0,08L,26R
C89,2272.0,38.0,0,08R,26L
C92,2521.0,40.0,0,18,36
C94,3400.0,100.0,0,04,22
C97,3041.0,100.0,0,18,36
C98,2000.0,140.0,0,18,36
CA-0012,3000.0,100.0,1,1,19
CA-0012,3000.0,100.0,1,13,31
CA-0012,3050.0,100.0,1,6,24
CA-0069,2500.0,,0,13,31
CA-0088,2800.0,50.0,0,17,35
CA-0159,1678.0,50.0,0,01,19
CA-0159,3246.0,65.0,0,09,27
CA-0208,1800.0,,0,,
CA-0234,2500.0,60.0,1,N,S
CA-0238,2675.0,50.0,0,15,33
CA-0239,5000.0,100.0,0,08,26
CA-0304,1267.0,,0,08,26
CA-0307,3988.0,80.0,0,18,36
CA-0380,2033.0,120.0,0,08,26
CA-0393,1400.0,70.0,0,01,19
CA-0407,5378.0,70.0,0,10,28
CA-0411,2920.0,82.0,1,04,22
CA-0412,6400.0,150.0,0,14,32
CA-0426,,,0,04,22
CA-0428,3000.0,50.0,0,16,34
CA-0430,2200.0,120.0,0,02,20
CA-0430,3200.0,120.0,0,16,34
CA-0443,2750.0,40.0,0,03,21
CA-0444,2480.0,75.0,0,12,30
CA-0452,2000.0,,0,09,27
CA-0454,2000.0,22.0,0,08,26
CA-0457,1200.0,20.0,0,05,23
CA-0457,800.0,20.0,0,14,32
CA-0464,4000.0,25.0,0,18,36
CA-0497,3187.0,150.0,0,03,21
CA-0497,2998.0,150.0,0,09,27
CA-0497,3076.0,150.0,0,15,33
CA-0504,6505.0,148.0,0,12,30
CA-0506,1700.0,60.0,0,06,24
CA-0508,3000.0,75.0,0,09,27
CA-0516,2192.0,80.0,0,13,31
CA-0524,1000.0,50.0,0,17,35
CA-0526,5384.0,80.0,0,10,28
CA-0534,3000.0,70.0,0,36,18
CA-0536,1685.0,50.0,0,03,21
CA-0537,1800.0,50.0,0,35,17
CA-0561,2700.0,130.0,0,09,27
CA-0564,1753.0,60.0,0,14,32
CA-0601,2110.0,25.0,1,08,26
CA-0682,2100.0,50.0,0,12,30
CA-0683,2000.0,75.0,0,09,27
CA-0684,2000.0,75.0,0,07,25
CA-0684,2000.0,75.0,0,08,26
CA-0684,2000.0,75.0,0,15,33
CA-0750,2000.0,50.0,0,08,26
CA-0772,3238.0,75.0,0,16,34
CA-0784,3144.0,90.0,0,15,33
CA-0903,3501.0,98.0,0,04,22
CA00,60.0,60.0,0,H1,
CA01,39.0,39.0,0,H1,
CA02,2500.0,35.0,0,16,34
CA03,3000.0,30.0,0,02,20
CA04,2600.0,150.0,0,16,34
CA05,2600.0,60.0,0,14,32
CA06,2200.0,80.0,0,16,34
CA07,2100.0,35.0,0,14,32
CA08,35.0,35.0,0,H1,
CA09,1500.0,50.0,0,03,21
CA10,3000.0,100.0,0,15,33
CA11,2800.0,75.0,0,17,35
CA12,70.0,70.0,0,H1,
CA13,2000.0,75.0,0,18,36
CA14,50.0,50.0,0,H1,
CA15,44.0,44.0,0,H1,
CA16,2500.0,200.0,0,N,S
CA17,2485.0,40.0,0,E,W
CA18,3100.0,35.0,0,14,32
CA19,2250.0,30.0,0,09,27
CA20,4000.0,100.0,0,01,19
CA21,1700.0,100.0,0,10,28
CA22,2000.0,30.0,0,15,33
CA23,54.0,54.0,0,H1,
CA24,32.0,32.0,0,H1,
CA24,98.0,98.0,0,H2,
CA25,300.0,150.0,0,H1,
CA26,100.0,60.0,0,H1,
CA27,60.0,60.0,0,H1,
CA28,46.0,46.0,0,H1,
CA29,36.0,36.0,0,H1,
CA30,150.0,150.0,0,H1,
CA31,25.0,25.0,0,H1,
CA32,2500.0,30.0,0,15,33
CA33,65.0,65.0,0,H1,
CA34,300.0,100.0,0,H1,
CA35,2140.0,30.0,0,04,22
CA36,45.0,45.0,0,H1,
CA37,80.0,80.0,0,H1,
CA38,1800.0,100.0,0,02,20
CA39,2500.0,70.0,0,E,W
CA39,1500.0,80.0,0,N,S
CA40,2600.0,150.0,0,N,S
CA41,2400.0,100.0,0,13,31
CA42,1800.0,50.0,0,18,36
CA43,42.0,42.0,0,H1,
CA44,2800.0,100.0,0,N,S
CA45,2400.0,45.0,0,N,S
CA46,62.0,62.0,0,H1,
CA47,62.0,62.0,0,H1,
CA48,53.0,53.0,0,H1,
CA49,1900.0,50.0,0,15,33
CA50,150.0,140.0,0,H1,
CA51,2600.0,40.0,0,12,30
CA52,20.0,20.0,0,H1,
CA53,1800.0,24.0,0,08,26
CA54,1600.0,30.0,0,09,27
CA55,52.0,96.0,0,H1,
CA56,50.0,50.0,0,H1,
CA57,1600.0,75.0,0,17,35
CA58,72.0,72.0,0,H1,
CA59,2200.0,50.0,0,17,35
CA60,3000.0,400.0,0,16,34
CA61,85.0,85.0,0,H1,
CA62,3500.0,65.0,0,10,28
CA63,42.0,42.0,0,H1,
CA64,56.0,56.0,0,H1,
CA65,100.0,100.0,0,H1,
CA66,2200.0,50.0,0,10,28
CA67,1562.0,30.0,0,03,21
CA68,40.0,40.0,0,H1,
CA69,2880.0,100.0,0,12,30
CA70,5300.0,90.0,0,07,25
CA70,3800.0,80.0,0,12,30
CA71,3000.0,50.0,0,14,32
CA72,96.0,77.0,0,H1,
CA73,3220.0,48.0,0,16,34
CA74,48.0,48.0,0,H1,
CA75,2080.0,75.0,0,16,34
CA76,2000.0,75.0,0,03,21
CA77,50.0,50.0,0,H1,
CA78,86.0,86.0,0,H1,
CA79,20.0,20.0,0,H1,
CA80,60.0,60.0,0,H1,
CA81,50.0,50.0,0,H1,
CA82,75.0,75.0,0,H1,
CA83,60.0,80.0,0,H1,
CA84,1500.0,30.0,0,09,27
CA85,50.0,50.0,0,H1,
CA86,30.0,30.0,0,H1,
CA87,105.0,105.0,0,H1,
CA88,2000.0,45.0,0,14,32
