ident,type,name,iata_code
SNYW,small_airport,Antônio Guerreiro Airport,GMS
SNYX,small_airport,Sítio Vodó Airport,
SNYZ,small_airport,Vicente José Airport,
SNZA,small_airport,Pouso Alegre Airport,PPY
SNZC,small_airport,Fazenda Águas Claras Airport,
SNZD,small_airport,Fazenda Dona Hilda Airport,
SNZE,small_airport,Aeroxingu Airport,
SNZF,small_airport,Fazenda Bela Vista Airport,
SNZG,small_airport,Fazenda São Benedito Airport,
SNZH,small_airport,Fazenda Pequena Holanda Airport,
SNZK,small_airport,Fazenda Canadá Airport,
SNZL,small_airport,Fazenda Santa Thereza Airport,
SNZN,small_airport,Fazenda Naná Porã Airport,
SNZO,small_airport,Fazenda Bebida Velha Airport,
SNZP,small_airport,Poções Airport,
SNZQ,small_airport,Pista Santa Lúcia Airport,
SNZR,small_airport,Pedro Rabelo de Souza Airport,PYT
SNZT,small_airport,Fazenda Recreio Airport,
SNZU,small_airport,Fazenda Nova Conceição Airport,
SNZV,small_airport,Fazenda Jamaica Airport,
SNZW,small_airport,Ituberá Airport,ITE
SNZY,small_airport,Fazenda Bandeira Airport,
SNZZ,small_airport,Muzzi Airport,
SO-0001,medium_airport,K50 International Airport,
SO-0002,small_airport,Baledogle Airfield,
SO-0003,small_airport,Uadan Highway Airstrip,
SO-0004,small_airport,Hafun Airstrip,
SO-0005,small_airport,Hafun Old Base Airstrip,
SO-0006,small_airport,Buurdhuubo Airstrip,
SO-0007,small_airport,Dhoobley Airstrip,
SO-0008,small_airport,Las Khorey Airport,
SO-0010,small_airport,Bandarbeyla Airport,
SO-0011,small_airport,Garacad Airport,
SO-0013,small_airport,Dayniile Airport,
SO-0015,small_airport,Baraawe Airport,
SO-0016,small_airport,Jamaame Airstrip,
SO-0017,small_airport,Afmadow Airport,
SO-0018,small_airport,Bu'aale Airfield,
SO-0019,small_airport,Doolow Airport,
SO-BXX,small_airport,Borama Airport,BXX
SOA,small_airport,Sóc Trăng Airport,SOA
SOCA,large_airport,Cayenne – Félix Eboué Airport,CAY
SOGS,small_airport,Grand-Santi Airport,GSI
SOML,small_airport,Malin Airport,
SOOA,small_airport,Maripasoula Airport,MPY
SOOG,medium_airport,Saint-Georges-de-l'Oyapock Airport,OYP
SOOM,small_airport,Saint-Laurent-du-Maroni Airport,LDX
SOOR,small_airport,Régina Airport,REI
SOOS,small_airport,Saül Airport,XAU
SOOY,small_airport,Sinnamary Airport,
SOR,small_airport,Al Thaurah Airport,SOR
SPAA,small_airport,Caraz Airport,
SPAB,small_airport,Huancabamba Airport,
SPAC,small_airport,Ciro Alegria Airport,
SPAG,small_airport,Aguaytia Airport,
SPAI,small_airport,Urpay Airport,
SPAL,small_airport,Alao Airport,
SPAP,small_airport,Picota Airport,
SPAR,small_airport,Alerta Airport,ALD
SPAS,small_airport,Alferez FAP Alfredo Vladimir Sara Bauer Airport,AOP
SPAT,small_airport,Aguas Calientes Airport,
SPAY,medium_airport,Teniente General Gerardo Pérez Pinedo Airport,AYX
SPBB,small_airport,Moyobamba Airport,MBP
SPBC,medium_airport,Caballococha Airport,
SPBL,small_airport,Huallaga Airport,BLP
SPBQ,small_airport,Nuevo Acari Airport,
SPBR,medium_airport,Iberia Airport,IBP
SPBS,small_airport,Bellavista Airport,
SPBT,small_airport,Obenteni Airport,
SPCC,small_airport,Ciudad Constitución Airport,
SPCG,small_airport,Casa Grande Airport,
SPCH,small_airport,Tocache Airport,
SPCL,medium_airport,Cap FAP David Abenzur Rengifo International Airport,PCL
SPCM,small_airport,Contamana Airport,
SPCP,small_airport,Pucacaca Airport,
SPCR,small_airport,Acarí Airbase Airport,
SPCT,small_airport,Chota Airport,
SPDO,small_airport,Mollendo Airport,
SPDR,small_airport,Trompeteros Airport,TDP
SPEB,small_airport,Pebas Airport,
SPEE,small_airport,El Estrecho Airport,
SPEN,small_airport,Iscozasin Airport,
SPEO,medium_airport,FAP Lieutenant Jaime Andres de Montreuil Morales Airport,CHM
SPEP,small_airport,Puerto Esperanza Airport,
SPEQ,small_airport,Cesar Torke Podesta Airport,
SPEZ,small_airport,Puerto Bermudez Airport,
SPGB,small_airport,Galilea Airport,
spgl,small_airport,Chagual Airport,
SPGM,small_airport,Tingo Maria Airport,TGI
SPGP,small_airport,Güeppi­ Airport,
SPGS,small_airport,Lagunas Airport,
SPGT,small_airport,Puerto Victoria Airport,
SPGU,small_airport,Baguá Airport,
SPHC,small_airport,Chala Airport,
SPHI,medium_airport,Air Force Captain Jose A Quinones Gonzales International Airport,CIX
SPHO,medium_airport,Air Force Colonel Alfredo Mendivil Duarte Airport,AYP
SPHU,small_airport,Huancayo Airport,
SPHV,small_airport,Huánuco Viejo Airport,
SPHY,small_airport,Andahuaylas Airport,ANS
SPHZ,medium_airport,Comandante FAP German Arias Graziani Airport,ATA
SPIL,small_airport,Quincemil Air Base,UMI
SPIM,large_airport,Jorge Chávez International Airport,LIM
SPIN,small_airport,Iñapari Airport,
SPIR,small_airport,Patria Airport,
SPIS,small_airport,Pias Airport,
SPIT,small_airport,Paita Airport,
SPIY,small_airport,Yauri Airport,
